"Name","Runtime","perception_loss","predict_only","use_prior","prune","N","nrm_loss","percept_loss","train_accuracy","test_accuracy","test_accuracy_prior","test_digit_accuracy","test_explain_accuracy","test_time","train_accuracy_prior","train_digit_accuracy","train_explain_accuracy","epoch_time"
"firm-sweep-19","7697","log-q","","","false","7","3.802249633348905","0.8943364505584424","0.9855769230769232","0.8555555555555555","0.8569444444444444","0.9879960616429648","0.9875992364353604","8.389971733093262","0.9855769230769232","0.9989697841497568","0.9989697841497568","68.61805772781372"
"silver-sweep-20","7673","log-q","","","false","7","353.65707514836237","0.6839316315375842","0.9831730769230768","0.875","0.8736111111111111","0.9896825631459554","0.925257976849874","6.998841285705566","0.9807692307692308","0.9986263788663424","0.9332074568821832","67.43720746040344"
"rose-sweep-18","8272","log-q","true","","false","7","8.083391171235304","0.5453074929805902","0.9927884615384616","0.8944444444444445","0.8986111111111111","0.9920635143915812","0","7.668173551559448","0.9927884615384616","0.9994848920748785","0","74.83378005027771"
"whole-sweep-23","8344","log-q","false","","true","7","3.7674970076634335","0.8764816293349633","0.9879807692307692","0.8686111119058397","0.8686111119058397","0.9894246339797974","0.9893254280090332","9.200352191925049","0.9879807692307692","0.9987980815080496","0.9987980815080496","79.42597889900208"
"laced-sweep-20","8260","log-q","true","","false","7","8.112608872927153","0.5951897983367627","0.9855769230769232","0.8680555555555556","0.8736111111111111","0.9896825657950508","0","7.61563229560852","0.9855769230769232","0.9989697841497568","0","74.7881600856781"
"avid-sweep-42","11719","log-q","false","","false","7","3.784064311247606","0.8402432111593393","0.9951923076923076","0.8672222230169508","0.8672222230169508","0.9894246326552496","0.989424631330702","11.287160873413086","0.9951923076923076","0.9996565947165856","0.9994848920748785","105.27332401275636"
"clean-sweep-17","8252","log-q","true","","false","7","8.101245641708374","0.5309644708266625","0.997596153846154","0.8819444444444444","0.8833333333333333","0.99067462682724","0","7.676679134368896","0.9951923076923076","0.9993131894331712","0","73.93633079528809"
"summer-sweep-19","8195","log-q","true","","false","7","8.089015557215763","0.5844162117976409","0.9879807692307692","0.8652777777777778","0.8708333333333333","0.9905754248301188","0","7.684518575668335","0.9879807692307692","0.999141486791464","0","73.63054037094116"
"vague-sweep-32","8062","log-q","true","false","false","7","7.348917282544649","7.279477284504817","0.052884615384615384","0.006944444444444444","0.011111111111111112","0.714166702164544","0","7.614975690841675","0.05048076923076923","0.7117101962749774","0","72.58805274963379"
"lilac-sweep-37","8085","log-q","true","false","false","7","6.357910284629235","6.619678258895874","0.1033653846153846","0.005555555555555556","0.015277777777777776","0.7008532073762682","0","7.641589641571045","0.09615384615384616","0.7070742134864514","0","72.78825259208679"
"bumbling-sweep-17","7905","log-q","","","false","7","354.1459503173828","0.6138632538226935","0.9927884615384616","0.8547222230169508","0.8602777785725064","0.9892262233628168","0.9246032118797304","8.742093086242676","0.9927884615384616","0.9994848920748785","0.9337225625148188","78.85652661323547"
"dulcet-sweep-22","8288","log-q","false","","true","7","3.612416129845839","0.8302569320568671","0.9903846153846154","0.8852777785725063","0.8930555555555556","0.9920635183652242","0.9916071679857044","7.264540195465088","0.9903846153846154","0.9993131894331712","0.9993131894331712","72.08349394798279"
"breezy-sweep-34","8092","log-q","true","false","false","7","6.743537425994873","6.391191262465257","0.0985576923076923","0.004166666666666667","0.002777777777777778","0.6727182825406393","0","7.676900148391724","0.09375","0.6694711767710172","0","73.08480501174927"
"lilac-sweep-19","8185","log-q","","","true","7","3.639995446571937","0.826058043883397","0.9951923076923076","0.890833334128062","0.8950000007947286","0.9911111341582404","0.990813516245948","7.350549697875977","0.997596153846154","0.9998282973582928","0.9996565947165856","75.00587272644043"
"icy-sweep-39","4949","log-q","true","false","false","7","6.895860598637507","7.342212291864248","0.055288461538461536","0.004166666666666667","0.009722222222222222","0.7312698735131158","0","3.8990535736083984","0.07451923076923077","0.7427884959257566","0","49.01381802558899"
"icy-sweep-35","8872","log-q","true","false","false","7","5.657762123988225","5.991492729920608","0.23557692307692307","0.07916666666666666","0.11333333336644702","0.8678571807013618","0","8.289394855499268","0.25240384615384615","0.8832418070389674","0","81.37990283966064"
"misty-sweep-44","12045","log-q","false","","false","7","354.2708740234375","0.6435886575625493","0.9879807692307692","0.8847222222222222","0.8916666666666667","0.9916666905085246","0.9275992419984606","11.435345649719238","0.9879807692307692","0.999141486791464","0.9350961928184216","108.78995060920715"
"super-sweep-19","8498","log-q","false","","true","7","3.5974192802722635","0.8806712008439578","0.9879807692307692","0.8902777777777777","0.8916666666666667","0.9916666918330722","0.9915674871868556","9.522526025772097","0.9903846153846154","0.9993131894331712","0.999141486791464","67.5756664276123"
"astral-sweep-16","12791","log-q","","","true","7","3.7954200506210327","0.8822411665549645","0.9855769230769232","0.8861111111111111","0.8852777785725063","0.991309548748864","0.991269866625468","11.726879596710203","0.9831730769230768","0.9987980815080496","0.9989697841497568","115.91091680526732"
"electric-sweep-16","7971","log-q","","","false","7","353.4319669283353","0.6571753047979795","0.9831730769230768","0.8819444444444444","0.8819444444444444","0.9904762162102594","0.9269444836510552","9.063223123550417","0.9831730769230768","0.9987980815080496","0.9345810848933","64.2671811580658"
"vivid-sweep-20","8781","log-q","","","true","7","3.5345128774642944","0.8306441192443554","0.9903846153846154","0.8852777785725063","0.8838888896836175","0.9909127248658074","0.9912103441026476","7.928701162338257","0.9903846153846154","0.9993131894331712","0.9993131894331712","74.83069324493408"
"atomic-sweep-41","12994","log-q","false","","false","7","351.0209139310397","0.5626119260604565","0.997596153846154","0.8944444444444445","0.8916666666666667","0.9914682785669964","0.9267460717095268","11.394606590270996","0.997596153846154","0.9998282973582928","0.9340659700907192","111.36792922019958"
"jolly-sweep-38","8007","log-q","true","false","false","7","5.431360024672288","5.020958937131441","0.23557692307692307","0.041666666666666664","0.07083333333333333","0.8136309875382317","0","7.56112813949585","0.22355769230769232","0.8221154190026797","0","72.1131546497345"
"logical-sweep-16","8312","log-q","true","","false","7","8.132008442511925","0.6011131199506613","0.9879807692307692","0.8652777777777778","0.8666666666666667","0.9897817744149102","0","7.707115650177002","0.9903846153846154","0.9989697841497568","0","75.27490448951721"
"soft-sweep-16","5273","log-q","true","","false","7","8.166140519655668","0.6028013538855773","0.9831730769230768","0.8588888896836175","0.8602777785725064","0.9894246300061544","0","3.864697217941284","0.9879807692307692","0.999141486791464","0","44.30257296562195"
"fine-sweep-45","11734","log-q","false","","false","7","354.52871469350964","0.6159591938440616","0.9927884615384616","0.8797222230169508","0.8783333341280619","0.9907143115997314","0.92777781618966","11.325645446777344","0.9927884615384616","0.9994848920748785","0.9352678977526152","105.71212911605836"
"ancient-sweep-33","8412","log-q","true","false","false","7","4.775398923800542","4.488162994384766","0.30528846153846156","0.09583333333333334","0.12666666673289406","0.8640873418913947","0","7.798145055770874","0.3269230769230769","0.8825549873021933","0","76.1909875869751"
